sbd,Toán,Văn,Lí,Hóa,Sinh,Ngoại ngữ,Sử,Địa,GDCD
1000070,8.6,8.5,,,,8.2,5.25,7.75,8.5
1000071,8.2,9.0,,,,9.0,5.5,6.25,9.0
1000072,7.0,5.5,7.25,4.75,6.5,9.8,,,
1000073,7.4,7.75,,,,5.6,6.0,7.0,8.0
1000074,8.0,9.0,,,,8.0,6.25,5.75,7.75
1000075,7.8,8.5,8.0,5.25,6.0,9.2,,,
1000076,8.2,8.0,7.0,8.5,8.25,8.6,,,
1000077,6.6,7.75,,,,6.2,5.75,5.5,7.25
1000078,3.4,6.5,,,,,4.25,6.25,
1000079,6.0,8.75,,,,6.8,8.0,6.0,8.0
1000080,7.6,8.25,7.75,7.25,7.75,8.4,,,
1000081,7.6,8.75,,,,8.4,7.25,5.5,8.5
1000082,9.2,8.75,7.75,7.0,8.0,9.2,,,
1000083,8.2,9.0,,,,9.6,7.75,7.75,9.5
1000084,7.6,9.5,,,,8.0,7.0,6.5,8.5
1000085,,5.5,,,,,3.0,6.0,
1000086,,6.0,,,,,7.0,6.25,
1000087,6.8,6.25,,,,7.6,4.25,5.0,8.0
1000088,6.2,8.5,,,,6.6,,,
1000089,8.2,8.75,,,,9.4,7.75,7.0,9.5
1000090,7.0,8.5,,,,7.0,4.75,5.25,8.25
1000091,6.6,8.5,,,,8.4,6.5,4.25,9.0
1000092,7.8,8.5,,,,9.0,5.25,6.25,9.0
1000093,2.4,6.25,,,,,4.25,4.5,
1000094,7.6,9.0,,,,9.2,7.25,6.5,9.25
1000095,8.2,9.5,,,,8.6,6.5,7.0,9.0
1000096,8.0,9.25,,,,7.4,6.0,7.25,8.25
1000097,8.4,8.25,,,,9.6,7.25,8.0,9.25
1000098,8.2,9.25,,,,9.4,7.5,6.75,8.75
1000099,8.6,9.5,,,,9.2,7.0,8.0,9.25
1000100,7.0,9.25,,,,8.8,7.0,6.25,9.75
1000101,6.6,8.25,,,,8.0,7.25,6.75,9.75
1000102,6.8,9.0,,,,6.8,4.25,5.5,7.5
1000103,8.0,9.0,,,,9.0,7.75,6.75,8.5
1000104,3.0,3.25,,,,,4.5,4.75,
1000105,7.6,8.5,,,,6.6,6.0,5.75,9.5
1000106,4.4,6.5,,,,,6.75,6.25,
1000107,6.8,8.25,,,,6.6,4.25,6.75,7.75
1000108,7.6,8.5,6.75,8.25,5.5,8.0,,,
1000109,6.6,8.75,,,,5.8,4.5,6.0,9.25
1000110,8.4,,7.5,,,8.0,,,
1000111,3.6,4.5,,,,,4.5,5.25,
1000112,7.4,9.25,,,,7.2,4.25,6.0,7.5
1000113,8.2,6.5,7.5,8.0,6.25,6.8,,,
1000114,5.2,8.75,,,,7.2,8.25,7.5,8.0
1000115,6.6,6.5,,,,7.0,3.5,5.0,7.75
1000116,7.2,7.25,5.0,7.0,5.5,8.0,,,
1000117,3.4,7.75,,,,,4.25,3.75,
1000118,6.6,8.5,,,,8.2,5.75,5.5,8.25
1000119,6.8,8.75,,,,8.4,6.0,5.0,8.0
1000120,7.6,9.5,,,,9.2,6.25,6.75,9.0
1000121,7.4,9.25,,,,7.8,5.0,5.25,8.75
1000122,5.0,7.0,5.5,3.5,5.0,3.8,,,
1000123,7.8,8.25,4.5,7.25,6.0,8.0,,,
1000124,7.8,6.25,8.25,4.75,6.75,8.2,,,
1000125,6.6,8.75,,,,9.4,6.5,7.5,8.0
1000126,4.8,6.25,,,,,5.75,6.0,
1000127,8.2,6.75,7.75,3.25,6.25,7.6,,,
1000128,6.8,7.5,,,,8.2,4.5,6.0,5.75
1000129,7.8,8.0,6.75,7.25,8.0,9.0,,,
1000130,6.6,8.75,,,,,6.5,6.75,9.25
1000131,8.4,9.25,,,,8.8,7.5,6.75,8.25
1000132,6.6,8.0,7.5,5.5,5.25,7.6,,,
1000133,8.8,8.5,,,,8.2,5.25,6.75,8.75
1000134,7.0,7.5,6.25,7.25,8.0,6.6,,,
1000135,8.0,8.5,,,,9.2,5.75,6.25,8.5
1000136,7.8,8.5,,,,6.6,4.25,4.75,8.0
1000137,7.8,8.25,,,,8.0,6.75,7.0,8.5
1000138,7.4,8.25,,,,8.4,5.0,7.25,8.5
1000139,8.2,8.5,,,,8.0,6.75,5.0,9.25
1000140,8.2,7.0,,,,7.2,5.75,6.75,8.0
1000141,8.4,8.25,8.0,6.0,5.75,8.8,,,
1000142,4.8,5.0,,,,,4.25,6.25,
1000143,8.0,8.75,,,,9.0,4.0,5.0,8.5
1000144,,6.5,,,,,6.25,5.0,
1000145,7.2,8.0,7.0,3.75,6.25,8.4,,,
1000146,4.0,6.0,,,,,2.75,4.75,
1000147,7.6,8.5,,,,9.4,7.0,7.5,9.25
1000148,8.2,9.0,,,,9.2,7.5,7.75,9.5
1000149,7.8,8.75,,,,8.4,4.25,5.0,8.25
1000150,8.0,6.25,8.75,6.75,8.25,9.2,,,
1000151,8.4,9.25,,,,9.2,7.5,8.5,10.0
1000152,8.4,7.25,7.5,5.75,5.25,9.0,,,
1000153,7.8,9.0,,,,8.0,6.75,6.0,7.5
1000154,7.6,7.5,8.0,5.25,3.75,9.0,,,
1000155,6.6,8.0,,,,9.0,6.75,6.0,8.5
1000156,8.0,7.25,6.5,5.75,6.25,7.8,,,
1000157,8.8,6.75,,,,,6.0,8.0,8.5
1000158,4.4,7.0,,,,3.2,4.25,4.75,7.25
1000159,8.0,8.0,,,,9.4,7.75,7.75,8.0
1000160,7.8,7.0,9.0,9.5,6.5,8.0,,,
1000161,7.6,9.25,,,,8.6,7.25,7.25,9.25
1000162,7.4,8.25,,,,7.6,3.75,4.5,8.0
1000163,8.0,9.5,,,,9.2,7.75,7.0,9.0
1000164,8.4,8.75,,,,9.6,8.0,7.0,9.25
1000165,7.8,9.25,,,,9.2,7.75,7.5,9.0
1000166,4.2,6.75,,,,6.4,4.25,6.0,7.25
1000167,6.0,8.25,,,,8.0,5.25,5.5,8.25
1000168,8.6,9.25,,,,9.6,8.25,7.25,9.25
1000169,7.8,8.0,,,,6.8,4.0,5.0,6.75
1000170,7.4,9.0,,,,6.4,8.0,6.5,9.75
1000171,6.2,8.5,,,,5.4,6.5,4.75,8.75
1000172,8.6,9.0,,,,9.4,7.0,6.25,8.0
1000173,8.4,6.25,7.0,8.25,6.0,5.0,,,
1000174,7.2,7.0,,,,6.0,6.5,6.75,8.75
1000175,8.2,8.25,,,,9.0,7.5,6.5,9.25
1000176,6.4,7.75,,,,6.0,4.75,5.75,8.0
1000177,8.8,8.75,,,,8.4,6.0,4.5,9.25
1000178,8.0,9.0,,,,9.2,5.0,6.25,8.0
1000179,8.0,7.75,,,,7.0,5.5,7.0,8.5
1000180,8.2,7.75,,,,9.0,6.75,7.0,8.75
1000181,5.2,7.5,,,,9.4,7.0,5.5,8.5
1000182,9.0,8.75,8.75,6.5,7.0,9.2,,,
1000183,5.6,6.0,,,,,6.0,4.0,
1000184,7.8,8.0,,,,8.0,6.75,6.5,8.5
1000185,8.8,8.75,6.0,6.75,7.5,,,,
1000186,8.6,8.75,7.25,7.25,6.0,8.6,,,
1000187,7.2,5.0,5.25,2.5,5.5,5.6,,,
1000188,8.2,6.5,8.25,6.75,4.5,7.0,,,
1000189,8.6,8.75,,,,8.6,5.25,5.25,9.25
1000190,7.4,8.25,,,,5.2,5.5,5.25,8.0
1000191,8.2,6.25,,,,8.6,9.0,8.25,9.0
1000192,7.6,6.75,8.25,4.5,6.75,7.6,,,
1000193,4.6,7.75,,,,,7.0,6.0,8.75
1000194,6.4,7.75,,,,3.8,4.75,4.75,7.25
1000195,6.2,8.5,,,,5.6,7.0,6.5,9.5
1000196,8.0,8.75,,,,9.4,7.25,8.5,9.25
1000197,7.6,8.25,6.25,5.25,6.0,9.2,,,
1000198,8.8,7.0,8.75,6.0,4.5,9.2,,,
1000199,8.2,9.0,,,,7.8,,,
1000200,8.6,8.75,,,,9.6,8.0,6.75,9.25
1000201,7.6,8.25,8.75,5.0,5.25,8.0,,,
1000202,2.4,6.5,,,,4.0,6.0,5.75,7.5
1000203,7.8,8.75,,,,8.8,7.75,7.75,9.75
1000204,7.4,7.5,2.25,7.5,4.75,6.8,,,
1000205,6.8,8.0,,,,8.8,7.75,5.75,9.25
1000206,8.0,8.75,,,,8.6,5.75,4.75,8.25
1000207,7.8,6.5,7.5,6.0,6.25,5.4,,,
1000208,8.2,8.75,8.75,5.75,5.5,7.6,,,
1000209,7.8,9.25,,,,9.6,8.5,6.25,8.75
1000210,4.4,6.5,,,,,6.25,6.5,
1000211,6.6,8.75,,,,7.6,,,
1000212,8.0,8.5,,,,7.4,6.0,7.0,8.25
1000213,7.6,9.0,,,,8.4,8.75,5.0,8.5
1000214,8.6,8.75,,,,8.8,8.5,7.0,9.25
1000215,8.0,9.25,,,,8.0,7.0,6.25,8.25
1000216,4.6,8.0,,,,6.0,5.0,4.0,7.75
1000217,7.4,8.75,,,,7.0,3.25,4.25,6.5
1000218,6.2,7.5,,,,6.0,4.25,4.5,7.75
1000219,8.8,7.75,7.75,7.0,7.0,8.4,,,
1000220,7.2,9.5,,,,9.2,5.5,6.0,9.0
1000221,7.4,8.0,,,,9.0,5.5,6.25,8.25
1000222,6.4,8.0,,,,7.6,5.75,6.25,8.0
1000223,8.6,8.75,,,,8.2,5.5,5.5,7.75
1000224,7.6,9.25,,,,9.2,7.5,7.5,9.5
1000225,7.2,8.0,,,,6.0,5.5,7.0,8.0
1000226,7.4,8.75,,,,8.2,5.75,5.75,7.75
1000227,5.0,8.5,,,,8.8,7.0,6.5,9.75
1000228,8.0,6.0,6.75,7.0,5.25,6.0,,,
1000229,8.0,8.5,,,,8.4,3.5,7.0,8.75
1000230,8.8,9.25,,,,8.8,7.0,8.75,9.25
1000231,7.0,8.5,,,,7.6,7.75,6.75,8.75
1000232,7.8,7.75,8.25,6.0,5.5,9.2,,,
1000233,8.6,9.25,,,,8.8,5.75,6.25,7.75
1000234,7.8,9.5,,,,9.2,5.5,7.0,7.5
1000235,8.4,7.5,7.5,7.0,6.5,7.8,,,
1000236,7.8,8.5,,,,8.6,6.25,5.5,8.0
1000237,5.4,7.0,,,,6.8,4.0,5.5,8.5
1000238,4.8,8.0,,,,4.8,6.25,6.5,
1000239,7.8,8.5,,,,5.4,4.25,6.0,8.25
1000240,7.8,9.0,,,,9.2,4.0,5.25,6.5
1000241,4.0,8.0,,,,7.8,6.25,5.75,9.0
1000242,6.4,7.75,6.25,7.25,6.75,6.0,,,
1000243,5.0,7.75,,,,6.8,7.0,5.0,8.75
1000244,6.2,7.0,,,,8.2,8.25,7.5,8.75
1000245,6.2,8.5,,,,7.4,9.25,6.75,
1000246,7.6,9.25,,,,9.4,7.75,7.75,9.75
1000247,7.8,8.25,,,,8.0,5.0,7.0,9.0
1000248,8.4,8.5,5.0,8.75,6.0,8.8,,,
1000249,8.6,9.25,,,,8.8,6.75,5.5,7.25
1000250,8.8,9.0,,,,7.8,5.75,5.5,9.25
1000251,5.6,8.75,,,,7.0,,,
1000252,7.0,8.25,,,,8.6,,,
1000253,7.6,8.25,3.75,8.0,4.5,8.6,,,
1000254,8.8,8.25,6.75,6.25,5.25,6.4,,,
1000255,7.4,8.75,,,,9.4,8.0,6.5,9.0
1000256,7.4,6.75,6.75,4.0,3.75,8.8,,,
1000257,3.8,5.5,,,,,4.5,4.5,
1000258,8.6,6.75,5.25,8.5,8.0,8.4,,,
1000259,7.2,8.25,5.75,8.25,6.5,8.0,,,
1000260,5.8,8.5,,,,7.0,5.25,5.0,7.0
1000261,7.2,8.75,,,,9.0,7.25,6.0,8.25
1000262,7.0,6.5,,,,3.8,5.0,6.5,9.25
1000263,6.2,9.25,,,,8.0,7.75,6.75,9.5
1000264,7.8,9.0,,,,7.8,7.5,5.25,8.25
1000265,8.0,8.5,6.5,7.75,6.75,9.0,,,
1000266,6.6,8.25,,,,4.2,6.75,7.5,9.25
1000267,7.2,7.25,,,,3.8,5.75,6.5,7.75
1000268,,7.25,,,,,6.5,6.25,
1000269,4.4,7.5,,,,,3.5,5.75,
1000270,,9.0,,,,6.4,9.0,6.5,7.0
1000271,4.8,8.0,,,,5.4,5.25,6.25,9.5
1000272,4.0,7.25,,,,3.2,8.0,7.5,9.75
1000273,6.4,8.0,,,,8.2,6.5,6.25,8.75
1000274,8.0,9.0,,,,9.2,6.5,6.0,9.25
1000275,7.8,8.25,,,,8.0,5.5,7.5,7.5
1000276,7.8,7.25,4.0,7.5,8.5,,,,
1000277,7.4,6.0,5.0,7.25,5.5,8.0,,,
1000278,7.4,9.25,,,,8.8,7.0,7.25,9.0
1000279,8.6,9.5,,,,9.4,5.25,5.0,8.5
1000280,7.4,7.25,,,,8.8,6.75,5.5,9.25
1000281,5.6,7.0,,,,,7.0,7.25,
1000282,6.2,8.25,,,,8.6,5.0,6.75,7.5
1000283,,8.0,,,,,9.25,8.25,
1000284,6.8,8.5,,,,7.8,4.75,5.5,6.75
1000285,,8.25,,,,,9.0,8.5,
1000286,6.6,8.5,,,,8.4,7.0,6.75,8.5
1000287,8.2,8.0,,,,9.2,6.75,5.75,8.25
1000288,8.8,7.5,8.75,8.0,6.25,8.2,,,
1000289,8.8,6.5,8.75,5.0,5.25,8.4,,,
1000290,7.6,6.25,8.75,3.5,7.0,9.6,,,
1000291,7.6,8.5,,,,9.2,8.75,6.75,9.5
1000292,6.2,5.75,,,,4.0,6.0,5.0,6.75
1000293,5.0,6.75,,,,5.4,,,
1000294,7.2,8.25,,,,8.8,6.25,7.75,7.75
1000295,8.4,7.25,8.5,6.0,6.0,9.0,,,
1000296,8.4,8.75,,,,9.4,9.0,5.75,10.0
1000297,6.6,8.0,,,,,6.0,6.75,7.75
1000298,7.6,8.0,,,,6.6,5.75,6.0,10.0
1000299,6.8,7.75,,,,8.6,6.0,6.25,8.75
1000300,8.4,9.0,,,,8.4,4.75,4.75,8.0
1000301,8.6,7.5,8.5,4.5,3.5,8.6,,,
1000302,8.6,9.0,,,,9.2,7.75,7.5,7.5
1000303,6.0,8.25,,,,8.2,5.0,7.0,8.5
1000304,8.0,9.0,,,,7.0,6.75,7.0,7.75
1000305,8.0,8.0,8.25,5.5,6.75,9.0,,,
1000306,8.8,9.0,,,,8.0,6.0,6.75,9.75
1000307,8.4,8.0,,,,7.6,5.5,6.0,8.5
1000308,2.6,7.5,,,,,4.75,5.25,
1000309,8.2,8.5,7.5,5.75,4.5,8.4,,,
1000310,7.2,9.0,,,,9.2,5.75,6.0,8.25
1000311,7.6,8.0,,,,6.8,6.0,5.75,8.25
1000312,4.0,8.0,,,,5.2,5.25,5.25,6.75
1000313,8.6,8.0,3.0,9.0,4.5,8.4,,,
1000314,7.6,5.0,,,,6.8,7.75,6.75,8.0
1000315,7.6,8.5,,,,7.6,6.25,7.0,9.0
1000316,7.0,8.75,,,,8.0,5.25,5.0,7.0
1000317,8.6,8.5,,,,8.2,4.25,3.25,7.75
1000318,8.4,8.5,,,,,7.0,7.5,9.25
1000319,7.0,8.0,,,,5.4,5.5,6.5,8.25
1000320,8.2,8.5,,,,9.4,7.0,6.5,9.25
1000321,4.6,7.5,,,,2.8,5.0,4.75,7.5
1000322,7.8,8.5,,,,8.4,6.75,7.25,8.0
1000323,4.6,6.25,,,,,3.5,5.5,
1000324,7.2,9.0,,,,9.4,6.25,7.75,9.0
1000325,8.0,9.0,,,,7.0,5.5,5.75,8.75
1000326,8.4,8.0,,,,9.4,3.5,9.0,8.75
1000327,6.4,8.5,,,,8.2,6.25,6.25,8.0
1000328,8.4,7.25,8.5,7.75,6.0,8.2,,,
1000329,7.2,7.0,6.5,5.25,6.25,8.6,,,
1000330,1.2,5.75,,,,,6.25,5.5,
1000331,8.0,8.0,6.75,7.25,7.75,9.4,,,
1000332,8.4,8.25,,,,8.4,6.0,6.0,9.5
1000333,,8.25,,,,,8.75,7.25,
1000334,7.0,9.25,,,,8.6,7.75,7.75,9.75
1000335,5.4,6.5,,,,4.2,7.75,6.0,8.75
1000336,,7.25,,,,,8.25,8.25,
1000337,,4.5,,,,,5.25,6.0,
1000338,5.8,8.5,,,,5.8,4.25,4.75,
1000339,7.6,8.75,,,,8.8,6.5,6.0,7.25
1000340,8.0,8.75,,,,9.0,7.0,6.75,9.75
1000341,6.0,9.25,,,,9.2,6.5,6.5,8.25
1000342,7.8,9.25,,,,7.2,6.25,8.0,9.5
1000343,6.4,7.5,,,,6.8,6.5,6.5,8.25
1000344,8.4,8.5,,,,9.0,7.25,6.5,8.75
1000345,8.0,9.5,,,,9.0,6.25,7.5,9.0
1000346,,,,,,,,,
1000347,4.6,8.0,,,,7.6,5.5,5.25,9.0
1000348,9.0,9.0,,,,9.0,7.25,6.5,8.25
1000349,8.4,6.25,7.75,5.5,4.5,8.6,,,
1000350,7.4,9.0,,,,9.4,6.5,8.0,9.75
1000351,5.0,4.25,,,,,2.5,6.0,
1000352,8.8,9.0,,,,9.6,8.25,7.25,9.5
1000353,8.8,8.5,,,,8.8,7.75,6.5,9.5
1000354,4.4,6.25,,,,,6.25,7.25,
1000355,7.0,8.25,,,,8.2,7.0,6.0,8.0
1000356,6.6,8.5,,,,9.2,6.75,6.0,8.25
1000357,5.2,8.0,,,,6.6,7.75,6.0,8.75
1000358,7.8,7.75,8.0,6.25,6.0,8.8,,,
1000359,8.2,8.75,,,,8.4,6.5,5.75,8.0
1000360,8.0,9.0,,,,9.4,7.25,8.25,8.75
1000361,7.6,8.75,,,,8.0,3.0,6.25,7.75
1000362,,,,,,,,,
1000363,7.2,8.75,,,,8.6,4.75,5.25,7.25
1000364,8.2,7.75,6.5,6.75,6.5,7.2,,,
1000365,8.0,,7.75,,,9.0,,,
1000366,5.6,6.75,,,,7.2,6.25,5.0,7.0
1000367,8.0,7.0,,,,8.4,5.75,6.5,8.75
1000368,,6.25,,,,,5.25,5.75,
1000369,,6.75,,,,,6.0,6.5,
1000370,,7.5,,,,,8.5,7.0,
1000371,7.8,7.5,4.5,5.0,5.25,8.8,,,
1000372,7.4,5.75,6.0,7.75,5.5,8.4,,,
1000373,7.8,8.25,5.5,8.25,6.0,9.6,,,
1000374,7.0,7.0,6.25,5.25,7.25,9.0,,,
1000375,7.8,5.5,6.0,6.75,6.0,7.4,,,
1000376,7.8,5.25,3.75,8.5,4.75,8.8,,,
1000377,7.4,6.75,3.75,7.25,7.5,8.0,,,
1000378,8.6,6.0,8.25,8.0,6.5,7.4,,,
1000379,,4.5,,,,,5.25,5.5,
1000380,6.8,5.0,5.75,5.0,4.0,4.8,,,
1000381,6.6,7.25,4.75,5.5,6.75,5.2,,,
1000382,,7.0,,,,,6.75,6.5,
1000383,8.0,6.75,7.75,7.5,5.75,6.0,,,
1000384,4.0,5.0,,,,,5.5,6.5,
1000385,2.4,4.75,,,,,3.5,5.0,
1000386,,6.0,,,,,5.25,5.75,
1000387,4.4,7.0,,,,,4.75,5.75,
1000388,3.4,6.25,,,,,4.75,4.5,
1000389,,6.75,,,,,8.0,6.75,
1000390,5.8,7.0,,,,,5.0,4.0,
1000391,5.0,7.5,,,,8.0,6.75,5.5,7.0
1000392,,7.0,,,,,4.5,4.5,
1000393,4.4,8.0,,,,,4.0,4.75,
1000394,,6.25,,,,,9.25,7.5,
1000395,,7.0,,,,,8.5,7.0,
1000396,4.6,7.0,,,,,6.0,7.25,
1000397,1.8,5.0,,,,,4.0,4.5,
1000398,,9.25,,,,8.6,9.0,8.5,9.0
1000399,5.0,7.0,,,,,5.5,6.0,
1000400,,3.75,,,,,4.5,7.0,
1000401,,5.75,,,,,6.0,6.0,
1000402,,6.0,,,,,5.75,5.25,
1000403,3.2,3.5,,,,,4.0,5.5,
1000404,5.8,5.5,,,,,5.0,5.0,
1000405,,5.5,,,,,6.0,7.25,
1000406,,4.75,,,,,2.5,2.75,
1000407,3.4,7.25,,,,,5.5,6.0,
1000408,,7.75,,,,,8.75,8.75,
1000409,,7.75,,,,,9.25,8.0,
1000410,4.4,7.75,,,,,6.5,5.5,
1000411,3.0,3.25,,,,,3.75,4.5,
1000412,4.4,7.25,,,,,7.0,5.75,
1000413,,7.0,,,,,4.25,5.5,
1000414,3.8,5.0,,,,,4.0,6.75,
1000415,,6.0,,,,,2.0,5.75,
1000416,2.0,3.75,,,,,4.25,4.25,
1000417,2.0,3.75,,,,,5.0,4.5,
1000418,,4.0,,,,,3.25,5.0,
1000419,,4.75,,,,,6.5,6.5,
1000420,,7.0,,,,,3.75,5.75,
1000421,7.4,7.25,4.25,,,7.0,,,
1000422,3.6,7.0,,,,,3.75,4.5,
1000423,,8.0,,,,,9.75,9.25,
1000424,6.4,7.25,,,,,2.5,6.5,
1000425,6.4,7.75,,,,,5.75,5.75,
1000426,3.4,5.75,,,,,4.75,5.25,
1000427,8.0,,4.75,,,6.6,,,
1000428,,5.75,,,,,9.0,7.25,
1000429,,6.75,,,,,9.5,7.0,
1000430,2.6,3.0,,,,,4.5,3.75,
1000431,,4.5,,,,,5.25,4.75,
1000432,,5.0,,,,,5.0,7.25,
1000433,3.6,4.75,,,,,3.0,3.75,
1000434,,8.25,,,,,9.5,7.75,
1000435,5.8,6.0,,,,,3.75,5.5,
1000436,,8.75,,,,,8.5,8.5,
1000437,1.6,5.5,,,,,3.0,4.25,
1000438,1.8,6.25,,,,,2.0,4.25,
1000439,,7.25,,,,,6.75,5.25,
1000440,4.2,6.0,,,,,4.5,5.0,
1000441,,5.25,,,,,6.0,6.25,
1000442,,8.0,,,,,6.5,5.25,
1000443,,5.75,,,,,6.25,6.5,
1000444,,6.5,,,,,6.75,3.75,
1000445,4.6,7.25,,,,,6.75,7.0,
1000446,,6.25,,,,,4.25,5.75,
1000447,3.2,7.5,,,,,5.25,4.5,
1000448,,7.0,,,,,6.75,5.75,
1000449,3.0,5.5,,,,,6.5,6.25,
1000450,7.0,1.75,,,,10.0,,,
1000451,3.2,5.0,,,,,2.5,5.5,
1000452,,7.0,,,,,5.75,4.5,
1000453,6.4,,6.25,,,5.8,,,
1000454,,7.0,,,,,9.5,8.75,
1000455,,5.5,,,,,3.75,5.75,
1000456,2.2,4.0,,,,,7.25,4.75,
1000457,1.8,6.5,,,,,6.5,3.0,
1000458,7.0,7.5,,,,,9.0,9.0,
1000459,1.8,5.25,,,,,2.75,3.75,
1000460,7.6,8.5,,,,,9.0,8.25,
1000461,,6.0,,,,,9.0,7.5,
1000462,6.4,7.25,,,,,9.5,6.5,
1000463,1.8,,1.25,,,2.0,,,
1000464,7.4,8.25,,,,8.6,,,
1000465,,9.0,,,,,9.0,8.75,
1000466,,6.5,,,,,5.5,4.25,
1000467,7.8,,9.0,1.5,2.5,9.2,,,
1000468,,8.25,,,,,8.0,8.25,
1000469,2.0,3.75,,,,,4.0,4.75,
1000470,,4.75,,,,,6.75,5.5,
1000471,1.4,5.25,,,,,5.0,6.25,
1000472,,8.75,,,,,9.25,7.5,
1000473,,7.0,,,,,5.5,4.75,
1000474,,4.25,,,,,4.5,4.25,
1000475,,3.0,,,,,3.5,4.5,
1000476,,6.75,,,,,7.75,6.25,
1000477,2.2,6.25,,,,,3.75,4.25,
1000478,4.2,6.0,,,,,5.25,5.75,
1000479,3.0,5.5,,,,,6.0,3.75,
1000480,7.0,8.5,,,,7.2,,,
1000481,2.6,5.5,,,,,3.75,4.75,
1000482,7.2,7.25,,,,8.4,,,
1000483,4.6,6.5,,,,,8.75,6.0,
1000484,,8.0,,,,,8.75,8.5,
1000485,2.6,2.75,,,,,6.0,5.25,
1000486,7.0,,5.75,,,7.6,,,
1000487,2.2,7.5,,,,,5.0,5.0,
1000488,,5.5,,,,,7.75,5.25,
